,sperm_id,total_distance,displacement,time_elapsed,vcl,vsl,vap,alh,mad,lin,wob,str,bcf,label
38,39.0,389.74,139.42,3.14,124.12,44.4,125.89,29.36,1.01,0.36,1.01,0.35,0.64,0
39,40.0,676.66,268.06,4.46,151.72,60.1,154.36,9.11,1.0,0.4,1.02,0.39,4.48,0
40,41.0,437.7,185.62,5.36,81.66,34.63,82.3,16.36,0.96,0.42,1.01,0.42,1.49,0
41,42.0,1278.64,449.22,11.44,111.77,39.27,112.38,15.93,1.16,0.35,1.01,0.35,2.01,0
42,43.0,172.85,47.59,11.1,15.57,4.29,15.53,2.29,1.19,0.28,1.0,0.28,0.72,1
43,44.0,10.86,2.95,1.3,8.35,2.27,9.06,0.42,1.14,0.27,1.09,0.25,1.54,1
44,46.0,803.66,445.22,4.8,167.43,92.75,169.67,24.28,0.88,0.55,1.01,0.55,1.04,0
45,53.0,50.13,0.12,26.74,1.87,0.0,1.81,0.22,1.57,0.0,0.97,0.0,2.69,1
46,56.0,105.04,0.42,26.6,3.95,0.02,3.81,0.64,1.56,0.01,0.96,0.01,2.07,1
47,65.0,61.76,6.33,24.3,2.54,0.26,2.52,0.37,1.47,0.1,0.99,0.1,0.16,1
48,66.0,342.09,173.59,3.48,98.3,49.88,101.43,10.06,0.85,0.51,1.03,0.49,3.16,0
49,70.0,435.45,169.81,5.62,77.48,30.22,78.99,13.37,1.22,0.39,1.02,0.38,0.89,0
50,73.0,475.39,183.02,8.2,57.97,22.32,58.61,17.47,1.2,0.39,1.01,0.38,0.85,1
51,76.0,118.94,21.25,22.48,5.29,0.95,5.24,4.52,1.35,0.18,0.99,0.18,0.18,1
52,78.0,208.28,121.01,2.34,89.01,51.71,90.22,14.9,0.82,0.58,1.01,0.57,1.71,0
53,79.0,164.7,88.12,1.34,122.91,65.76,124.82,18.5,0.91,0.54,1.02,0.53,1.49,0
54,81.0,98.66,14.6,21.38,4.61,0.68,4.52,3.49,1.43,0.15,0.98,0.15,0.37,1
55,86.0,84.65,28.22,20.92,4.05,1.35,4.0,3.15,1.14,0.33,0.99,0.34,0.19,1
56,89.0,25.31,2.89,1.24,20.41,2.33,22.72,0.27,1.5,0.11,1.11,0.1,9.68,1
57,92.0,354.8,169.22,3.32,106.87,50.97,108.54,11.54,0.95,0.48,1.02,0.47,3.01,0
58,94.0,585.12,189.03,6.54,89.47,28.9,90.1,11.8,1.08,0.32,1.01,0.32,2.6,1
59,98.0,89.23,54.72,0.78,114.4,70.15,124.17,8.42,0.72,0.61,1.09,0.56,0.0,0
60,102.0,734.28,241.22,8.68,84.59,27.79,86.17,29.88,1.23,0.33,1.02,0.32,0.58,0
61,104.0,26.56,0.72,1.0,26.56,0.72,25.48,2.32,1.58,0.03,0.96,0.03,10.0,1
62,113.0,127.51,45.17,1.8,70.84,25.09,73.54,9.24,1.16,0.35,1.04,0.34,1.11,1
63,129.0,596.06,311.28,9.98,59.73,31.19,60.68,19.91,0.87,0.52,1.02,0.51,0.4,0
64,133.0,322.31,113.73,4.56,70.68,24.94,75.83,17.77,1.37,0.35,1.07,0.33,0.66,1
65,134.0,9.61,4.26,0.72,13.35,5.92,19.06,0.53,1.49,0.44,1.43,0.31,1.39,1
66,137.0,49.42,22.62,9.28,5.33,2.44,5.31,0.61,1.07,0.46,1.0,0.46,3.56,1
67,142.0,334.38,117.8,5.44,61.47,21.65,66.43,25.65,1.29,0.35,1.08,0.33,0.74,1
68,145.0,490.97,200.8,6.5,75.53,30.89,76.54,11.22,1.07,0.41,1.01,0.4,1.54,1
69,165.0,24.05,0.89,0.96,25.05,0.93,27.09,1.98,1.34,0.04,1.08,0.03,6.25,1
